output_prefix,name,motif_id,cluster,total_tfbs,SEA_mean_score,SEA_bound,NOSEA_mean_score,NOSEA_bound,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,neglog10p,category,label
SP1_MA0079.5,SP1,MA0079.5,C_KLF5,37631,0.30917,5874,0.22529,4373,0.03022,1.40585e-62,FALSE,61.85206101476961,Other,NA
RFX1_MA0509.3,RFX1,MA0509.3,C_RFX1,4693,0.3282,601,0.27143,487,-0.04986,2.23958e-36,FALSE,35.649833419516234,Other,NA
SP2_MA0516.3,SP2,MA0516.3,C_KLF5,35866,0.32799,5964,0.23576,4416,0.04558,3.12073e-79,FALSE,78.50574380409421,Other,NA
BHLHA15_MA0607.2,BHLHA15,MA0607.2,C_ATOH7,3146,0.21424,312,0.16551,251,-0.06926,1.48864e-42,FALSE,41.82721031562368,Other,NA
SP4_MA0685.2,SP4,MA0685.2,C_KLF5,39895,0.28022,5633,0.20138,4160,0.04022,2.83948e-71,FALSE,70.54676118594169,Other,NA
KLF14_MA0740.2,KLF14,MA0740.2,C_KLF5,39338,0.28067,5647,0.20299,4235,0.03601,7.226419999999999e-66,FALSE,65.14107680081095,Other,NA
KLF12_MA0742.2,KLF12,MA0742.2,C_KLF5,30862,0.23945,3958,0.16684,2887,0.0616,1.73673e-81,FALSE,80.76026769371438,Other,NA
RFX3_MA0798.3,RFX3,MA0798.3,C_RFX1,4907,0.34239000000000003,637,0.282,519,-0.04883,4.03975e-33,FALSE,32.39364551037948,Other,NA
BHLHE22_MA0818.2,BHLHE22,MA0818.2,C_ATOH7,2205,0.41511,317,0.34773,259,-0.07692,4.286849999999999e-53,FALSE,52.36786171250336,Other,NA
HES5_MA0821.2,HES5,MA0821.2,C_HES1,2616,0.11469,196,0.07536,138,0.03492,5.55651e-13,FALSE,12.255197899719734,Other,NA
TFE3_MA0831.3,TFE3,MA0831.3,C_BHLHE41,4595,0.10122,247,0.05297,139,0.13575,2.98614e-73,TRUE,72.52488983498937,Positive (Top 10%),TFE3
CDX1_MA0878.3,CDX1,MA0878.3,C_HOXA10,8007,0.111,436,0.09555,380,-0.09308,4.0394399999999996e-66,FALSE,65.39367883829712,Negative (Top 10%),NA
