output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
NR2F2_MA1111.2,MA1111.2,NR2F2,0.08463,1.42386e-48,FALSE,-0.03337,1.08171e-10,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NR3C1_MA0113.4,MA0113.4,NR3C1,0.02067,3.2672e-14,FALSE,0.0995,1.32194e-49,TRUE,TRUE,High in Both,High in Both
NR3C2_MA0727.2,MA0727.2,NR3C2,0.01098,2.8907e-6,FALSE,0.10802,6.1534100000000004e-62,TRUE,TRUE,High in Both,High in Both
NR4A1_MA1112.3,MA1112.3,NR4A1,0.11579,3.68555e-61,TRUE,-0.03684,4.1632e-14,FALSE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
NR4A2_MA0160.3,MA0160.3,NR4A2,0.10532,2.19056e-60,FALSE,-0.02872,4.52393e-8,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NR4A2RXRA_MA1147.2,MA1147.2,NR4A2::RXRA,-0.02384,3.08209e-19,FALSE,-0.00478,0.732773,FALSE,FALSE,Low in Both,Not highlighted
NR6A1_MA1541.2,MA1541.2,NR6A1,-0.09116,2.17192e-79,FALSE,0.02865,3.8778e-31,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NRL_MA0842.3,MA0842.3,NRL,-0.00346,0.0124991,FALSE,0.03354,7.7077e-21,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
ONECUT1_MA0679.3,MA0679.3,ONECUT1,-0.09292,2.8798799999999997e-49,FALSE,-0.07046,7.98181e-22,FALSE,FALSE,Low in Both,Not highlighted
ONECUT3_MA0757.2,MA0757.2,ONECUT3,0.03519,4.77556e-16,FALSE,-0.01552,0.211428,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
OSR1_MA1542.2,MA1542.2,OSR1,-0.00782,1.59361e-4,FALSE,-0.02082,1.32423e-13,FALSE,FALSE,Low in Both,Not highlighted
OSR2_MA1646.2,MA1646.2,OSR2,0.03127,3.06097e-43,FALSE,-0.00915,1.41201e-4,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
OTX1_MA0711.2,MA0711.2,OTX1,0.00583,6.33281e-4,FALSE,0.04626,4.02309e-26,FALSE,FALSE,High in Both,Not highlighted
OTX2_MA0712.3,MA0712.3,OTX2,0.03604,2.33909e-16,FALSE,0.05309,1.06087e-12,FALSE,FALSE,High in Both,Not highlighted
OVOL1_MA1544.2,MA1544.2,OVOL1,-0.01715,2.93142e-4,FALSE,0.07278,2.61522e-19,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
OVOL2_MA1545.2,MA1545.2,OVOL2,0.01814,2.3464e-4,FALSE,-0.15612,1.81925e-23,TRUE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
PATZ1_MA1961.2,MA1961.2,PATZ1,0.03337,1.00168e-71,FALSE,-0.0547,2.5169e-77,TRUE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
PAX2_MA0067.3,MA0067.3,PAX2,0.03571,2.64187e-13,FALSE,-0.00291,0.658582,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
PAX3_MA1546.2,MA1546.2,PAX3,0.09126,4.9205399999999995e-39,FALSE,-0.00153,0.404388,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
PBX1_MA0070.2,MA0070.2,PBX1,0.03559,6.116169999999999e-32,FALSE,0.04005,1.25387e-24,FALSE,FALSE,High in Both,Not highlighted
PBX2_MA1113.3,MA1113.3,PBX2,0.04367,3.23856e-31,FALSE,0.00464,0.0163475,FALSE,FALSE,High in Both,Not highlighted
PBX3_MA1114.2,MA1114.2,PBX3,-0.11302,2.51423e-101,TRUE,0.01871,1.5068899999999999e-27,FALSE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
PDX1_MA0132.3,MA0132.3,PDX1,-0.07551,1.53547e-41,FALSE,0.0847,4.34315e-31,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
PHOX2B_MA0681.3,MA0681.3,PHOX2B,-0.02647,1.01542e-16,FALSE,-0.00123,0.873418,FALSE,FALSE,Low in Both,Not highlighted
PITX3_MA0714.2,MA0714.2,PITX3,0.00583,6.33281e-4,FALSE,0.04626,4.02309e-26,FALSE,FALSE,High in Both,Not highlighted
PKNOX1_MA0782.3,MA0782.3,PKNOX1,-0.09069,7.3366999999999995e-81,FALSE,0.01473,7.03152e-17,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
PLAGL2_MA1548.2,MA1548.2,PLAGL2,-0.04529,6.45891e-33,FALSE,-0.10145,1.33359e-45,TRUE,TRUE,Low in Both,Low in Both
POU1F1_MA0784.3,MA0784.3,POU1F1,-0.05295,4.16859e-42,FALSE,0.07462,2.04017e-48,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
POU2F1_MA0785.2,MA0785.2,POU2F1,-0.01533,4.1656e-10,FALSE,0.01455,0.00281013,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
POU2F2_MA0507.3,MA0507.3,POU2F2,-0.05981,2.95045e-55,FALSE,0.065,1.45657e-60,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
POU2F3_MA0627.3,MA0627.3,POU2F3,-0.03653,3.60161e-23,FALSE,0.01385,6.6962e-5,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
POU3F1_MA0786.2,MA0786.2,POU3F1,-0.01161,2.73147e-4,FALSE,0.05429,6.715089999999999e-20,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
POU4F1_MA0790.2,MA0790.2,POU4F1,-0.08258,4.5004999999999995e-51,FALSE,0.02177,4.35609e-8,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
POU4F2_MA0683.2,MA0683.2,POU4F2,-0.02659,2.04734e-19,FALSE,-1e-5,0.949046,FALSE,FALSE,Low in Both,Not highlighted
POU4F3_MA0791.2,MA0791.2,POU4F3,-0.0828,7.12169e-57,FALSE,0.01929,4.04504e-5,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
POU5F1_MA1115.2,MA1115.2,POU5F1,-0.1317,1.3471e-81,TRUE,-0.00914,1.0373e-7,FALSE,TRUE,Low in Both,Low in Both
POU6F1_MA0628.2,MA0628.2,POU6F1,-0.07551,1.53547e-41,FALSE,0.0847,4.34315e-31,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
POU6F1_MA1549.2,MA1549.2,POU6F1,-0.04426,2.6830899999999997e-35,FALSE,-0.01648,3.00926e-11,FALSE,FALSE,Low in Both,Not highlighted
POU6F2_MA0793.2,MA0793.2,POU6F2,-0.01306,2.04938e-4,FALSE,0.05437,7.293659999999999e-20,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
PPARARXRA_MA1148.2,MA1148.2,PPARA::RXRA,-0.00898,1.07291e-4,FALSE,-0.02949,8.41869e-26,FALSE,FALSE,Low in Both,Not highlighted
