gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,interaction_log2FC,neglog10_padj,direction
Rnase6,179.64692763897344,-0.8523410627357877,0.3085714956261319,-2.762215806765548,0.00574105175208702,0.06130497331062949,-0.8523410627357877,1.2125042923045606,Not significant
Mettl17,326.59197003662024,0.06564718411444456,0.14771658036471,0.4444131048279256,0.6567439404899951,0.8686244215078267,0.06564718411444456,0.06116796454667587,Not significant
Arhgef40,76.5833912257262,-0.33560727805553836,0.23065003257340774,-1.4550497752421796,0.14565548205802847,0.44278103627620236,-0.33560727805553836,0.35381098765095753,Not significant
Zfp219,704.7148897379853,0.009651154105064322,0.10583956951999834,0.09118663415614837,0.9273442951035635,0.9732585967189786,0.009651154105064322,0.011771751502812592,Not significant
Hnrnpc,3901.6690149244982,-0.09221116369562189,0.07521471995867768,-1.2259723063023025,0.22020909675534503,0.5430255099191557,-0.09221116369562189,0.2651797679122726,Not significant
Rpgrip1,74.0736321885361,0.18732314187257987,0.2573693547000386,0.7278377881892859,0.46671288957667084,0.7534689077252097,0.18732314187257987,0.12293466436059777,Not significant
Supt16,2868.8159565601504,-0.07888492131689073,0.0659787463544956,-1.195611097141068,0.23184835890697725,0.5532394055860969,-0.07888492131689073,0.25708689396564227,Not significant
Chd8,3180.477449870598,-0.18233821236116066,0.0874769910735548,-2.0844133997229286,0.03712258001581321,0.2046613189650082,-0.18233821236116066,0.6889642313358082,Not significant
Rab2b,268.24893722938646,0.26389097481228346,0.1239280549639898,2.129388497939092,0.033222131292562185,0.1920201364651697,0.26389097481228346,0.716653225998765,Not significant
Tox4,2117.3751779766444,-0.09122121344846908,0.07282963405144516,-1.2525287904650535,0.2103772442487983,0.530674750724754,-0.09122121344846908,0.2751715754227663,Not significant
Mettl3,504.3366409346093,-0.1425478009314305,0.11722523832046913,-1.216016303091104,0.223978711609292,0.5472819990533659,-0.1425478009314305,0.2617888362360059,Not significant
Sall2,28.90839704776288,-0.08753352276519985,0.36453505805687264,-0.24012374346596693,0.8102343279822811,0.9322005980900098,-0.08753352276519985,0.030490622764613617,Not significant
Dad1,1477.768401392623,-0.06936215925211765,0.1270012704213299,-0.5461532709240384,0.5849605842842227,0.8265290222566357,-0.06936215925211765,0.0827418922623845,Not significant
Abhd4,1849.5838426876662,-0.13331843854152173,0.12714585256081162,-1.0485472853135958,0.2943865284951256,0.618747488858743,-0.13331843854152173,0.20848655060706853,Not significant
Oxa1l,1437.3793489109785,-0.2469275598007839,0.07804527043331363,-3.1639016487459415,0.0015566939105493942,0.024898785580319206,-0.2469275598007839,1.6038218347768753,Not significant
Slc7a7,779.5750050294196,0.16839428378627558,0.1401742360461447,1.2013212166238663,0.2296266234582327,0.5508507147499719,0.16839428378627558,0.258966082717679,Not significant
