"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mcam",22.5481768269352,2.02704792992956,0.742618519478566,2.72959517809071,0.00634121412763957,0.0655088772942664
"Cbl",1242.35351849315,0.229395939628105,0.370532362615433,0.619098256381427,0.535851631917688,0.798602096623692
"Nlrx1",415.282435955355,-0.1508058179536,0.136827960195902,-1.10215644330066,0.270393664376925,0.594786813006514
"Hinfp",212.181348847576,-0.227202754782703,0.161182300428549,-1.40960114217641,0.158657489571992,0.461315786994993
"C2cd2l",949.838154769235,0.470114041271754,0.148132669707536,3.17360135478499,0.00150560324000518,0.024297046193673
"Dpagt1",1518.17211287888,0.0879566200603232,0.0807537939477979,1.08919489426319,0.276067949997244,0.601074321437888
"H2afx",1370.12882997707,-0.105835173886894,0.14410190053961,-0.734446759484634,0.462676497263553,0.751132637263042
"Hmbs",885.836945983268,-0.0100422294508327,0.108497358664501,-0.0925573633721869,0.926255217382767,0.973120379487091
"Vps11",2133.03877808762,-0.0300447276554169,0.0861767310098139,-0.348640837304392,0.72735896535248,0.896042648631051
"Hyou1",4520.81090956301,0.184849210489356,0.0757517554051534,2.44019705550982,0.0146792522074897,0.113845963651212
"Slc37a4",349.585441653444,0.0936892365111487,0.135201949698623,0.692957732636179,0.488336077205016,0.769546653276907
"Trappc4",866.517574727762,0.0705171777216178,0.156247349210176,0.451317594046102,0.65176066608899,0.866111311955391
"Rps25",7877.25279281021,-0.270139243294463,0.135214861621954,-1.99785171581023,0.0457327386614648,0.232751749311314
"Ccdc84",303.384075428813,-0.0730919326257641,0.130606255870738,-0.559635770419019,0.575727900960423,0.819330439936297
"Bcl9l",440.159521985356,-0.31885981896434,0.142560224027015,-2.23666749361951,0.0253080800661094,0.162329421988745
"Cxcr5",7.49386219090873,2.68039939393235,0.819656391069456,3.2701500569465,0.0010749044746964,0.0191191768170816
"Ddx6",4329.39470023307,0.0604352823451586,0.170367044725347,0.354735755630368,0.722787561599454,0.893630955754427
"Phldb1",449.877776589817,-0.240287987229225,0.148733205096455,-1.61556383507903,0.106188648309831,0.372103103539541
"Arcn1",4029.81159982213,0.0264088934110695,0.0973336323636906,0.271323413806152,0.78614230002704,0.922923762598724
"Ift46",757.940205617376,-0.0831100046000594,0.0935289060884763,-0.888602337778217,0.374216834236373,0.688358817067832
"Tmem25",32.740859651363,-0.954265309164532,0.369796724530234,-2.58051314645031,0.00986535999846679,0.0870692092370683
"Kmt2a",1505.50365949817,0.0315486865834738,0.156268231521269,0.201888037487516,0.840004254221689,0.943978217435626
"Atp5l",557.114515876488,-0.0520028617439909,0.188109026732972,-0.276450644858267,0.782201962685641,0.922671918933734
"Ube4a",1352.32921523938,0.00594474066271597,0.11544175604774,0.0514955841477115,0.958930620524485,0.98533857043628
"Cd3g",12.4095835644938,2.48971982009547,0.601253179399063,4.14088424876834,3.45969524668521e-05,0.00140509756285375
"Cd3d",8.545382096445,1.94608596817069,0.85381404404714,2.27928549751431,0.0226500995585087,0.150391723717095
"Cd3e",11.3510811960882,1.93126402951708,0.665338671527425,2.90267815800253,0.00369986648875501,0.0455843771094283
"Amica1",33.206459411688,-0.813221271312347,0.329634833010794,-2.4670368233982,0.0136236346657641,0.108571973679356
"Tmprss4",20.2439485141497,-0.723424392367698,0.441287389573322,-1.63934979666465,0.101140430745879,0.364368719162564
"BC049352",20.9648151500387,-1.42003998180747,0.527408578804375,-2.69248555840079,0.00709216070173091,0.0701956831761896
"Il10ra",3731.29533332241,-0.414306941123675,0.152288739787952,-2.72053562003704,0.00651762495585843,0.0665959395663665
"Fxyd2",22.2918367980261,0.24474646884094,0.519015389579373,0.47155917484314,0.63724147259501,0.857853119244957
"Cep164",868.634188767394,-0.181371161728056,0.0957859165510335,-1.89350552000432,0.0582906748403846,0.268373624200179
"Bace1",120.38259670213,-0.559437397577435,0.189573174860087,-2.95103670648721,0.00316709276657784,0.0412704366502507
"Rnf214",551.867378517216,-0.16911614508845,0.12347288098832,-1.36966225890888,0.170792355090343,0.477875985772312
"Pcsk7",817.735443365084,-0.290325565158909,0.0847926490589906,-3.42394733954978,0.00061718579491219,0.0126383054205212
"Tagln",10.4474852092606,0.898169177563889,0.794994302957297,1.12978064650626,0.258568665159139,0.582136283945272
"Sidt2",2344.89190497035,0.0174097260554986,0.0921052098172388,0.189019992354874,0.850077147602536,0.948300674454248
"Pafah1b2",1762.90786364607,0.19163196421088,0.100319256477565,1.91022113739186,0.0561047467143872,0.262909163774282
"Sik3",1311.29135080056,-0.133246511013442,0.0972993051527475,-1.36944976949488,0.170858726008542,0.477901898924156
"Zpr1",1120.11269766874,-0.0244163574605192,0.0890092330365685,-0.274312637324804,0.78384437368432,0.922811058667608
"Bud13",342.590291812195,-0.273042175904411,0.123034833970806,-2.21922659699122,0.0264713124816775,0.166604277903165
"Cadm1",4500.09723963407,0.727672627850549,0.188140604237484,3.86770644646187,0.000109863807299132,0.00342347448824092
"Nxpe4",96.271566491325,-0.671780855762919,0.390134879985566,-1.72191949560566,0.0850841028253397,0.332157868895847
"Rexo2",1257.08439087663,0.0593031663101192,0.108765302966425,0.545239747352387,0.585588637852132,0.826937642919518
"Rbm7",1248.71604711114,0.0436392100742618,0.159318387336839,0.273911949547905,0.784152288255829,0.922811058667608
"Gm5617",89.9763916672286,-0.380045234307844,0.265162381194452,-1.43325471960197,0.1517850570476,0.451280901675929
"Zbtb16",121.276512600548,-0.461776345039472,0.23970989475271,-1.92639667843436,0.054054861867839,0.257223831766938
"Usp28",342.277318581748,-0.112620629404431,0.145494826816686,-0.774052465427691,0.43889976590181,0.737544925039702
"Zw10",683.613909682969,0.103439049975925,0.0896324186744726,1.15403613453293,0.248485354835964,0.570804216312479
"Ttc12",203.509417030729,0.419977444174955,0.210935257956188,1.99102534229809,0.0464781012179767,0.235178389375625
"Ncam1",7.80238779293954,0.86625910678452,0.946341468628153,0.915376886146897,0.359993808283039,0.67662394768837
"Pts",462.081939807274,-0.167862204680955,0.134381574856154,-1.2491459849361,0.211611684012686,0.532042252994339
"Bco2",97.9137999895303,-0.266705920853133,0.271782307547256,-0.981321864767668,0.32643404375459,0.647404049900093
"Il18",365.388264170282,-0.131587403330395,0.175930299632838,-0.747951908255791,0.454489165934307,0.745794047538713
"Sdhd",2162.34629899515,0.0599349823079224,0.107251622741555,0.558825878582258,0.576280559186772,0.81949140209286
"Timm8b",469.43095732697,-0.0634315310096832,0.151475462928063,-0.418757796038606,0.675393151704934,0.876942294158954
"AU019823",529.120594099102,0.0258635936459609,0.125280339723674,0.206445749612487,0.836442737397495,0.942745942938211
"Dlat",933.086936676791,0.212319572585252,0.0995476849931418,2.13284289433631,0.0329376161805597,0.190919084464291
"Cryab",18.9661731575008,-0.171273096671646,0.606368462136518,-0.282457131870235,0.777593012629628,0.921869142882233
"1110032A03Rik",309.521870466862,-0.0370996042863828,0.11730968481939,-0.316253550109706,0.751810064739881,0.909257621021793
"Fdxacb1",115.448146674518,-0.0896889347048675,0.184905554836052,-0.485052678835912,0.627638978170433,0.852167383616825
"Alg9",566.017046633889,0.109695554934806,0.0914034175527612,1.20012531119513,0.230090676729245,0.551095892523908
"Ppp2r1b",795.435699516275,0.119402700902073,0.0904622308783693,1.31991771309084,0.186862492945412,0.501262134312396
"Sik2",310.349037556302,-0.0279938133352839,0.169095208090329,-0.165550601057423,0.868510625352065,0.953960670072779
"Layn",156.168243073085,0.922201776099048,0.279598127429015,3.29831170394078,0.00097268092754232,0.0178750292928742
"Pou2af1",14.3587801536197,3.62092056947013,0.836896428938789,4.32660535313978,1.51424910356411e-05,0.000743935930557467
"Fdx1",170.256082711993,0.0782968531502871,0.186058633399154,0.420818167476894,0.673887864365443,0.876193959358243
"Rdx",2525.82451690532,0.0175621517230121,0.146262033569357,0.120073208982727,0.904425154954853,0.966454664793013
"Zc3h12c",212.624850328582,-0.163729549848612,0.312917834545119,-0.523234957466141,0.600810757464,0.836794498049998
"Ddx10",641.255531511513,-0.137726597289101,0.105238126979359,-1.30871387815668,0.190631288885446,0.506024318906377
"Kdelc2",764.571417103143,-0.108503546510318,0.0997476968489231,-1.08777996823983,0.276692254820046,0.601466268104806
"Atm",596.539204553189,0.000500379694589895,0.145373995146153,0.00344201653182081,0.997253673574073,0.999634873086769
"Npat",425.824866494877,-0.114407131531567,0.160813414870335,-0.711427784950738,0.476819186288431,0.761285498341
"Acat1",1212.42302827851,-0.310598651989875,0.0724459697817025,-4.28731443482343,1.80846219043391e-05,0.000858832315474411
"Cul5",694.828903682168,0.103161206869762,0.119532584518514,0.863038369707331,0.388116371108196,0.700149521110788
"Rab39",80.6658570939767,-0.0988115800726444,0.299049583593907,-0.330418718144163,0.741083599989143,0.903546068576543
"Dmxl2",418.985625633502,0.303643007322183,0.240087268200179,1.26471932309636,0.205971960630767,0.524793468909508
"Cib2",46.6729562237544,0.157339891124424,0.281880563254555,0.558179284544483,0.576721965021722,0.819832040814918
"Idh3a",872.606405229188,0.057237003966049,0.0813183339425358,0.703863460932389,0.481517808315786,0.764704506845613
"Acsbg1",14.9790687604089,0.18297695666456,0.524489661786588,0.348866660290842,0.727189415753491,0.896042648631051
"Dnaja4",10.2259601392471,0.930301520962409,0.591816175774597,1.57194338215711,0.115963682340996,0.390265557117774
"Wdr61",785.365282043279,0.00523552511630618,0.0916392026039212,0.0571319366334399,0.954440096208056,0.983911483015128
"Ireb2",1086.58305314922,0.273671623511097,0.205082927160764,1.33444371649994,0.182058480963139,0.49502355100533
"Hykk",14.6548418491716,0.019229079059363,0.551032382085894,0.0348964592363387,0.972162304015354,0.991779746472668
"Psma4",2829.7888326848,-0.0311856360537752,0.0912430989704423,-0.341786243624601,0.732511762828277,0.89869331570836
"Ube2q2",907.390415081742,0.425123040888436,0.150301945322684,2.82846000413193,0.00467725451175618,0.0542223301343837
