"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050873","brown fat cell differentiation","10/2081","64/28564",0.0168273297109981,0.0850969037830639,0.0634033182546118,"Dusp10/Mrap/Lncbate10/Ffar4/Scd1/Adrb1/Bmp7/Prdm16/Gata2/Zfp423",10
"GO:0002090","regulation of receptor internalization","12/2081","83/28564",0.016851971902472,0.0851636652016302,0.0634530603166647,"Rala/Angpt1/Tbc1d5/Sh3gl2/Pcsk9/Rspo1/Magi2/Lrpap1/Rnf216/Iqsec1/Arrb1/Vac14",12
"GO:0015718","monocarboxylic acid transport","22/2081","186/28564",0.0168649883279621,0.0851716235504408,0.0634589898593389,"Acsl3/Avpr1b/Acsl6/Map2k6/Pnpla8/Bdkrb2/Emb/Slc22a2/Slc22a1/Slc22a7/Lhcgr/Sstr4/Abcg2/Slc6a11/Slc6a13/Apoe/Ceacam1/Slco3a1/Slco2b1/Stard10/Slco2a1/Agtr2",22
"GO:0048265","response to pain","8/2081","46/28564",0.0169844159560976,0.0856585314208606,0.063821771268491,"Ednrb/Grik1/Cacna1b/Ntrk1/Vwa1/Tac1/Ret/Cacna1a",8
"GO:0060122","inner ear receptor cell stereocilium organization","8/2081","46/28564",0.0169844159560976,0.0856585314208606,0.063821771268491,"Cdh23/Kif3a/Triobp/Whrn/Grxcr1/Atp2b2/Ush1c/Myo7a",8
"GO:0010463","mesenchymal cell proliferation","9/2081","55/28564",0.0171500288695606,0.086318333269107,0.0643133711353439,"Zeb1/Prrx2/Bmp7/Ctnnbip1/Msx1/Pdgfa/Foxp1/Wnt11/Fgf4",9
"GO:0034605","cellular response to heat","9/2081","55/28564",0.0171500288695606,0.086318333269107,0.0643133711353439,"Cd34/Pmp22/Mapt/Slc52a3/Tfec/Clpb/Xylt1/Bag3/Ano1",9
"GO:0045773","positive regulation of axon extension","9/2081","55/28564",0.0171500288695606,0.086318333269107,0.0643133711353439,"Pafah1b1/Mapt/Map1b/Gsk3b/Cdh4/Apoe/Megf8/Disc1/Nrp1",9
"GO:0051937","catecholamine transport","13/2081","93/28564",0.0171887911383054,0.0863895484997033,0.0643664316079268,"Nisch/Prkn/Slc22a2/Slc22a1/Syt12/Syt7/Chrna4/Kcna2/Actb/Crhr2/Syt17/Prkcb/Agtr2",13
"GO:0015844","monoamine transport","15/2081","113/28564",0.0171989939382805,0.0863895484997033,0.0643664316079268,"Nisch/Slc18a3/Prkn/Slc22a2/Slc22a1/Syt12/Syt7/Chrna4/Kcna2/Nos1/Actb/Crhr2/Syt17/Prkcb/Agtr2",15
"GO:0060606","tube closure","15/2081","113/28564",0.0171989939382805,0.0863895484997033,0.0643664316079268,"Rab23/Enah/Specc1l/Rala/Celsr1/T/Abl1/Zeb2/Lmo4/Fzd1/Tead2/Folr1/Adm/Gatad2a/Bbs4",15
"GO:0030595","leukocyte chemotaxis","26/2081","230/28564",0.0172617931822671,0.0866465195204293,0.0645578935141183,"Cxcr2/Tnfsf18/Ccl11/Prkca/Nedd9/F2rl1/Ednrb/Ptk2/Slc12a2/Ch25h/Gbf1/Hc/Lbp/Cyp7b1/S100a8/S100a9/Edn2/Dysf/C3ar1/Cxcl17/Mapk3/Itgam/Gas6/Dpep1/Cyp19a1/Itga9",26
"GO:0009799","specification of symmetry","18/2081","144/28564",0.0173288943288819,0.0868550007347872,0.0647132270244625,"Kif3a/Hand1/Sostdc1/Hif1a/T/Map3k4/Daam2/Dync2li1/Odad2/Rttn/Eng/Notch2/Dnai1/Gm572/Megf8/Folr1/Dnaaf1/Smad3",18
