"gene","baseMean.x","log2FC_male","lfcSE.x","stat.x","pvalue.x","padj_male","baseMean.y","log2FC_female","lfcSE.y","stat.y","pvalue.y","padj_female","baseMean","log2FC_int","lfcSE","stat","pvalue","padj_int"
"Cmbl",237.996571760964,-0.542391267444027,0.106077762158278,-5.11314771737669,3.16834340676345e-07,5.07977163308061e-05,273.853828469682,0.196304609198278,0.115501339763634,1.69958729136825,0.0892085824860263,0.336347555507512,255.925200115323,0.739370444278782,0.145136794660847,5.09430049083368,3.50031217665599e-07,4.22255480795807e-05
"Cct5",4495.36459033436,0.0496142278966408,0.0490132079272029,1.01226240833554,0.311412603623959,0.714472335748059,4899.02001856116,0.0102306945737838,0.0578824093582539,0.176749632353114,0.859705053584261,0.941129930823342,4697.19230444776,-0.0394830361882517,0.0670511120346577,-0.588849833957169,0.555962012708355,0.808382508115467
"Fam173b",227.126334009648,-0.0482143458331422,0.125655877890279,-0.383701476147754,0.701199718408022,0.923140623172592,235.59314857455,-0.126280468749081,0.118370919578075,-1.066820036536,0.286053108953315,0.590927416189466,231.359741292099,-0.0757014447957479,0.166084828095824,-0.455799880480783,0.648533890078842,0.864336829288729
"Sdc2",19.8724836795445,-0.173201640689532,0.340154433459271,-0.509185310119649,0.610622338818367,0.890573710481666,12.8042622775364,1.58582749655294,0.502995748882586,3.15276520741157,0.00161731834478793,0.0323867618314172,16.3383729785405,1.78222487221235,0.545752993173665,3.2656254651914,0.00109222607553952,0.0193707168913734
"Cpq",1261.22244625103,-0.22128851781465,0.0709487652906338,-3.11899039973657,0.00181471874008217,0.0380591184989695,1159.28533767463,-0.0365414966219551,0.0798148131785187,-0.457828505345545,0.647075654692504,0.842179977830207,1210.25389196283,0.184762541056478,0.100988678874813,1.8295371631261,0.0673191773211709,0.289867301620259
"Mtdh",2830.48960366185,-0.0410108679457944,0.0735094141685678,-0.557899534497045,0.576912989422105,0.874954736262378,3000.32237707168,0.0120767640804352,0.0837917756732249,0.144128274922025,0.885399177660466,0.95164397231867,2915.40599036676,0.0533443896786823,0.110093539956745,0.484536964654249,0.628004837286234,0.852167383616825
"Laptm4b",85.6119176043287,-0.346653243813137,0.169288065983554,-2.04771223416785,0.0405882043722913,0.280525961586143,75.5957883326273,0.193709420254127,0.205725331465605,0.941592456670865,0.346401333236596,0.644745766461149,80.603852968478,0.54297709192717,0.2498107906631,2.17355339409433,0.0297386917710033,0.177964744861446
"Matn2",33.9315098535348,-0.685459790434189,0.26818455525376,-2.55592567508445,0.0105905737340527,0.125531265515012,23.3912818159534,-0.17737318165066,0.288927639934081,-0.613901742633994,0.539280258585828,0.783297020399732,28.6613958347441,0.510507673429155,0.36142741656359,1.41247633697245,0.157809753346546,0.459639915251434
"Rpl30",38.8529474668818,-0.234259900171541,0.229567969206083,-1.02043809065213,0.307520736583598,0.712866001156838,41.3812199598047,0.00828884611602797,0.30165219016483,0.02747815658656,0.97807836178713,0.993169479815968,40.1170837133432,0.240560954009322,0.360099383496903,0.66804044948161,0.504107772811608,0.777769925786582
"Hrsp12",211.55412123889,-0.1320252587783,0.10595978598558,-1.24599401131546,0.212766593795096,0.615246156322314,233.782364833325,0.0433189778379227,0.125297998826593,0.34572761132342,0.729547431578907,0.882857381682775,222.668243036108,0.176195221600209,0.150700113355566,1.16917776421634,0.242332017966454,0.564245546229147
"Pop1",321.722644372719,0.0587743668673287,0.0892104956526107,0.658827937647588,0.510006264929684,0.843124050514227,278.327252484701,0.100708556070409,0.102863265257625,0.979052685311715,0.327553948222165,0.629556454902176,300.02494842871,0.0428849506678874,0.121473067989311,0.353040812895753,0.724057843746913,0.893992781537534
"Stk3",664.160186438232,0.0987206914552601,0.112034082409874,0.881166599768213,0.378227654289888,0.767349977942437,574.899641130099,0.301890081163456,0.101233993152022,2.98210187866551,0.00286276716264385,0.0469370519183411,619.529913784166,0.202662835639976,0.154155142422927,1.31466801855995,0.188621499399269,0.504241769514604
"Vps13b",1515.87518424652,0.115762578078376,0.0837452546259392,1.38231806202568,0.166874062470415,0.556075087082499,1103.62575931108,0.11165200100525,0.134055521078138,0.832878796093526,0.404913089352815,0.689110261874265,1309.7504717788,-0.00308363573546437,0.162310433803677,-0.0189983826868098,0.984842395606733,0.995711538301588
"Cox6c",1540.0460480306,-0.120068895733203,0.101172434379756,-1.1867748015484,0.235316460757795,0.63847300749764,1796.50308618981,-0.0664477444468125,0.120060338365442,-0.553452916687255,0.579953312570253,0.807033434604624,1668.2745671102,0.0531716079408532,0.163486694537068,0.325235078557401,0.745003161715,0.905270480472677
"Polr2k",210.448293805949,-0.0837390926754834,0.135991505897815,-0.615767081352901,0.538048256528009,0.857147393638545,222.696218196921,0.0589558811586554,0.126032248870171,0.467784092461823,0.639938997546974,0.838251276141639,216.572256001435,0.14314790780475,0.181408688384418,0.789090693944105,0.430059000647219,0.730494753085977
"Spag1",44.3382347952775,0.048451846537676,0.226565809197194,0.213853302532093,0.830661456915393,0.962108846420831,34.0536909173918,-0.0665988635186447,0.253201129163397,-0.263027513892589,0.792529372533218,0.914725471017342,39.1959628563347,-0.11424768551861,0.311287807922145,-0.367016255089514,0.713606893031136,0.890740797013947
"Rnf19a",680.058197599458,0.070636143890597,0.0969125591032377,0.728864705918566,0.466084426073823,0.820291814561273,580.054327423479,0.128129742496118,0.0940572720070271,1.36225237838649,0.173118250867515,0.466164131756867,630.056262511468,0.0571505031908987,0.133200034174086,0.429057721683506,0.667881218849252,0.872913281218682
"Ankrd46",668.099156380556,-0.0333859151193381,0.0663080381520552,-0.503497253874089,0.61461471057244,0.891779645932727,650.939496094016,0.143481909414655,0.0840398659495886,1.70730769014699,0.0877648775070213,0.333276726243932,659.519326237286,0.176594991656037,0.0948583721344805,1.86167006329898,0.0626496108049371,0.27857085233995
"Pabpc1",23894.554125463,-0.0159331204781193,0.0524855129103212,-0.30357177808938,0.761454155281319,0.940990443542996,25661.3660180536,0.0541883374822388,0.0598522688311998,0.905368142936487,0.365270386945525,0.661125627276291,24777.9600717583,0.0701338160379437,0.0735249787533933,0.953877406386968,0.340145701287634,0.658730603603714
