output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
NR4A2_MA0160.3	NR4A2	MA0160.3	C_NR4A2	11474	0.02397	104	0.02175	107	-0.02872	4.52393E-08	False
NR4A2RXRA_MA1147.2	NR4A2::RXRA	MA1147.2	C_NR2F1	4150	0.30577	430	0.27721	396	-0.00478	7.32773E-01	False
NR6A1_MA1541.2	NR6A1	MA1541.2	C_NR6A1	10928	0.23184	877	0.1998	729	0.02865	3.87780E-31	False
NRL_MA0842.3	NRL	MA0842.3	C_Mafb	8909	0.06429	216	0.05445	172	0.03354	7.70770E-21	False
ONECUT1_MA0679.3	ONECUT1	MA0679.3	C_ONECUT3	6237	0.02587	67	0.0279	71	-0.07046	7.98181E-22	False
ONECUT3_MA0757.2	ONECUT3	MA0757.2	C_ONECUT3	7399	0.0214	56	0.01637	52	-0.01552	2.11428E-01	False
OSR1_MA1542.2	OSR1	MA1542.2	C_OSR2	8139	0.14739	426	0.14788	402	-0.02082	1.32423E-13	False
OSR2_MA1646.2	OSR2	MA1646.2	C_OSR2	16161	0.16651	957	0.1664	882	-0.00915	1.41201E-04	False
OTX1_MA0711.2	OTX1	MA0711.2	C_RHOXF1	9948	0.04809	210	0.04117	164	0.04626	4.02309E-26	False
OTX2_MA0712.3	OTX2	MA0712.3	C_RHOXF1	3964	0.02565	49	0.02132	35	0.05309	1.06087E-12	False
OVOL1_MA1544.2	OVOL1	MA1544.2	C_OVOL1	1295	0.11698	49	0.08742	36	0.07278	2.61522E-19	False
OVOL2_MA1545.2	OVOL2	MA1545.2	C_OVOL1	723	0.069	17	0.08421	23	-0.15612	1.81925E-23	True
PATZ1_MA1961.2	PATZ1	MA1961.2	C_PATZ1	46640	0.13965	2423	0.14633	2461	-0.0547	2.51690E-77	True
PAX2_MA0067.3	PAX2	MA0067.3	C_PAX9	2738	0.09825	95	0.09426	76	-0.00291	6.58582E-01	False
